,t0_smooth_or_featured__features_or_disk,t0_smooth_or_featured__smooth,t0_smooth_or_featured__star_artifact_or_bad_zoom,t1_how_rounded_is_it__cigarshaped,t1_how_rounded_is_it__in_between,t1_how_rounded_is_it__completely_round,t2_could_this_be_a_disk_viewed_edgeon__yes_edge_on_disk,t2_could_this_be_a_disk_viewed_edgeon__no_something_else,t3_edge_on_bulge_what_shape__boxy,t3_edge_on_bulge_what_shape__no_bulge,t3_edge_on_bulge_what_shape__rounded,t4_is_there_a_bar__no_bar,t4_is_there_a_bar__strong_bar,t4_is_there_a_bar__weak_bar,t5_is_there_any_spiral_arm_pattern__yes,t5_is_there_any_spiral_arm_pattern__no,t6_spiral_how_tightly_wound__loose,t6_spiral_how_tightly_wound__medium,t6_spiral_how_tightly_wound__tight,t7_how_many_spiral_arms_are_there__1,t7_how_many_spiral_arms_are_there__2,t7_how_many_spiral_arms_are_there__3,t7_how_many_spiral_arms_are_there__4,t7_how_many_spiral_arms_are_there__more_than_4,t7_how_many_spiral_arms_are_there__cant_tell,t8_not_edge_on_bulge__dominant,t8_not_edge_on_bulge__moderate,t8_not_edge_on_bulge__no_bulge,t8_not_edge_on_bulge__large,t8_not_edge_on_bulge__small,t11_is_the_galaxy_merging_or_disturbed__major_disturbance,t11_is_the_galaxy_merging_or_disturbed__merging,t11_is_the_galaxy_merging_or_disturbed__minor_disturbance,t11_is_the_galaxy_merging_or_disturbed__none,t12_are_there_any_obvious_bright_clumps__yes,t12_are_there_any_obvious_bright_clumps__no,t19_what_problem_do___e_with_the_image__nonstar_artifact,t19_what_problem_do___e_with_the_image__bad_image_zoom,t19_what_problem_do___e_with_the_image__star,id_str,file_loc
0,9.0,11.0,10.0,0.0,4.0,7.0,1.0,8.0,0.0,0.0,1.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,14.0,5.0,4.0,1.0,8.0,1.0,1452,/scratch/ydong/stamps/demo_F356W/F356W_1452.jpg
1,2.0,9.0,25.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,24.0,1.0,1514,/scratch/ydong/stamps/demo_F356W/F356W_1514.jpg
2,2.0,5.0,23.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,3.0,17.0,1680,/scratch/ydong/stamps/demo_F356W/F356W_1680.jpg
3,5.0,12.0,12.0,0.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,9.0,3.0,2.0,0.0,11.0,1.0,27,/scratch/ydong/stamps/demo_F356W/F356W_27.jpg
4,22.0,6.0,1.0,2.0,3.0,1.0,11.0,11.0,2.0,1.0,8.0,7.0,2.0,2.0,8.0,3.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,10.0,4.0,4.0,6.0,14.0,13.0,9.0,0.0,1.0,0.0,898,/scratch/ydong/stamps/demo_F356W/F356W_898.jpg
5,9.0,8.0,16.0,1.0,7.0,0.0,2.0,7.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,9.0,2.0,4.0,5.0,4.0,2.0,13.0,1.0,921,/scratch/ydong/stamps/demo_F356W/F356W_921.jpg
6,2.0,7.0,20.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,17.0,3.0,981,/scratch/ydong/stamps/demo_F356W/F356W_981.jpg
7,6.0,9.0,11.0,0.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,9.0,4.0,2.0,4.0,0.0,8.0,3.0,1438,/scratch/ydong/stamps/demo_F356W/F356W_1438.jpg
8,7.0,9.0,14.0,0.0,4.0,5.0,1.0,6.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,8.0,4.0,3.0,0.0,8.0,6.0,1576,/scratch/ydong/stamps/demo_F356W/F356W_1576.jpg
9,7.0,4.0,23.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,5.0,5.0,4.0,3.0,2.0,20.0,1.0,2064,/scratch/ydong/stamps/demo_F356W/F356W_2064.jpg
